titulo,descripcion,categoria
"Leopoldo López, con la expectativa de la democratización total de Venezuela","Washington, 14 ene (EFE).- Leopoldo López, una de las caras más visibles de la oposición venezolana,...",Internacional
Una ONG cifra en al menos 3.428 los muertos en las protestas de Irán y más de 10.000 los detenidos,Los datos del grupo Iran Human Rights superan en más de un millar de fallecidos a las cifras oficiales,Internacional
El régimen chavista excarcela a catorce periodistas venezolanos,"El presidente del Parlamento de Venezuela, Jorge Rodríguez, anunció el pasado jueves un proceso de liberaciones de un «número importante» de personas",Internacional
Qatar confirma la evacuación de parte del personal de la base de EE.UU. por las «tensiones regionales» con Irán,"Al Udeid, situada a 190 km al sur de Irán, del otro lado del Golfo, es la mayor base de Estados Unidos en Oriente Medio",Internacional
Minerales y estrategia: por qué EE.UU. codicia una isla cubierta de hielo,"El presidente de EE.UU. sigue queriendo hacerse sea como sea con esta isla, cubierta de hielo en un 80% y con 2,16 millones de kilómetros cuadrados de superficie",Internacional
Bruselas propone que dos tercios de los 90.000 millones a Ucrania vayan a apoyo militar,"Bruselas, 14 ene (EFE).- La Comisión Europea propuso este miércoles que 60.000 millones de euros del...",Internacional
Leopoldo López espera que salida de Maduro lleve a la democratización total de Venezuela,"Washington, 14 ene (EFE).- Leopoldo López, una de las caras más visibles de la oposición venezolana,...",Internacional
Estados Unidos congela las concesiones de visado a ciudadanos de 75 países,"Entre ellos, se encuentran Somalia, Rusia, Irán, Afganistán, Brasil, Nigeria y Tailandia",Internacional
Estonia aboga por prohibir la entrada de veteranos de guerra rusos en su territorio: «Esto es solo el principio»,El Gobierno estonio es uno de los mayores defensores de las sanciones contra Rusia y busca que Europa siga su ejemplo,Internacional
Sindicato de la prensa de Venezuela informa de la excarcelación de varios periodistas,"Caracas, 14 ene (EFE).- El Sindicato Nacional de Trabajadores de la Prensa (SNTP) de Venezuela infor...",Internacional
Informe a cámara: Irán despide a los policías muertos en las protestas sin mencionar a los civiles,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Irán despide en funerales de Estado a los policías muertos sin mencionar a los civiles,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Registran el domicilio de una periodista de 'The Washington Post' por la presunta filtración de secretos de Estado en EE.UU.,"La profesional, que cubrió las medidas impulsadas por Trump, para despedir a miles de funcionarios, publicó en diciembre un reportaje al respecto",Internacional
Von der Leyen propone que dos tercios de los 90.000 millones a Ucrania vayan a apoyo militar,"Bruselas, 14 ene (EFE).- La Comisión Europea propuso este miércoles que 60.000 millones de euros del...",Internacional
Von der Leyen propone destinar 60.000 millones de euros del nuevo préstamo a Ucrania para gasto militar,"Bruselas, 14 ene (EFE).- La Comisión Europea propuso este miércoles que 60.000 millones de euros del...",Internacional
Irán asegura que el arsenal de misiles de Teherán ha aumentado desde junio,"Según el comandante aeroespacial, el nivel de preparación es el más alto para responder a cualquier ataque",Internacional
Salen a la luz imágenes de las protestas del 8 de enero en Teherán con gritos contra el régimen,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
"Última hora de la intervención de Estados Unidos en Venezuela, en directo: últimas noticias sobre Irán, Groenlandia y Trump hoy","Sigue en directo la última hora de la situación en Venezuela tras la captura de Maduro por parte de los Estados Unidos, con todas las noticias sobre Donald Trump y los movimientos en Irán y Groenlandia",Internacional
Las fuerzas israelíes proceden al derribo de la vivienda de un preso palestino en Cisjordania,"Qabatiya (Cisjordania), 14 ene (EFE/EPA).- Las fuerzas israelíes demolieron un edificio, hogar del p...",Internacional
Protesta en Nairobi denuncia detención de Maduro y acciones de EE. UU. contra Venezuela,"Nairobi, 14 ene (EFE/EPA).- Activistas se congregaron este miércoles cerca de la Embajada de Estados...",Internacional
Activistas se manifiestan en Nairobi en apoyo a Venezuela frente a la Embajada de EE. UU.,"Nairobi, 14 ene (EFE/EPA).- Activistas se congregaron este miércoles cerca de la Embajada de Estados...",Internacional
Israel demuele el hogar de la familia de un preso palestino en Cisjordania,"Qabatiya (Cisjordania), 14 ene (EFE/EPA).- Las fuerzas israelíes demolieron un edificio, hogar del p...",Internacional
Informe desde Teherán: Irán entierra a los más de 100 agentes de seguridad muertos en las protestas,"Teherán, 14 ene (EFE).- Irán celebra este miércoles los funerales por los más de cien miembros de la...",Internacional
El Gobierno francés obliga a retirar un libro de texto que «falsea los hechos» de los atentados de Hamás del 7 de octubre,Emmanuel Macron muestra su repulsa ante «cualquier relativismo respecto a los atentados terroristas y antisemitas» de 2023,Internacional
Masiva multitud en Teherán despide a los mártires de las fuerzas de seguridad víctimas de los disturbios,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Teherán rinde homenaje a los mártires de las fuerzas de seguridad caídos en los recientes disturbios violentos,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
La Ertzaintza registró ayer el domicilio del menor detenido por vinculación con el yihadismo en Agurain (Álava),"Agurain (Álava), 14 ene (EFE).- La Ertzaintza ha registrado este martes en Agurain (Álava) el domici...",Internacional
Estudiantes protestan en Daca bloqueando el tráfico en tres cruces de la capital,"Daca, 14 ene (EFE/EPA).- Estudiantes de universidades públicas de Bangladés bloquearon tres puntos d...",Internacional
Informe desde Teherán: Irán advierte que si Trump le ataca bombardeará bases de EE.UU. en la región,"Teherán, 14 ene (EFE).- El ministro de Defensa iraní, el general de brigada Aziz Nafizardeh, advirti...",Internacional
Al menos 28 muertos y más de 30 heridos tras caer una grúa sobre un tren en Tailandia,Una maquinaria de elevación utilizada en la construcción de la red de trenes de alta velocidad cayó sobre un convoy de pasajeros,Internacional
Francia abrirá un consulado en Groenlandia el 6 de febrero,La medida se anuncia en medio de los esfuerzos Trump por tomar el control del territorio ártico,Internacional
Mueren al menos 22 personas en el choque de un tren contra una grúa en Tailandia,"Al menos 22 personas han muerto y 55 han resultado heridas este miércoles en Tailandia, cuando un...",Internacional
Trump hace una peineta a un trabajador de Ford que le tildó de «protector de pedófilos»,El presidente de EE.UU. le dijo «que te jodan»; el trabajador ha sido suspendido mientras se investigan los hechos,Internacional
"Orbán se enfrentará a las urnas el 12 de abril, por primera vez en desventaja","El sondeo más reciente indica la victoria del opositor Tisza con el 47 % de los votos, frente al 39 % del partido de Orbán, el «gran hombre» de Trump",Internacional
"Trump pide a Irán a ""mostrar humanidad"" mientras que el Gobierno iraní le acusa ante la ONU","En medio de la ola de protestas en Irán, que se han saldado con más de 1.800 muertos, el...",Internacional
Israel se suma a EE.UU. y rompe con varias agencias de la ONU y organizaciones,"También examinará «de inmediato», tras consultar con los ministerios pertinentes, «la cooperación continua entre Israel y otras organizaciones»",Internacional
Kiev queda parcialmente a oscuras en la noche del martes tras un ataque ruso con drones,"Kiev, 14 ene (EFE).- Varias subestaciones eléctricas que suministraban energía a la ciudad de Kiev f...",Internacional
Rusia lanza contra Ucrania tres misiles balísticos y 113 drones,"Járkov (Ucrania), 14 ene (EFE).- Rusia ha lanzado desde la pasada tarde contra territorio ucraniano ...",Internacional
El Ejército venezolano se atrinchera en torno a la nueva cúpula chavista,"Aunque el presidente electo, Edmundo González, ha llamado a las fuerzas armadas a cumplir sus órdenes, fuentes internas castrenses niegan fisuras y aseguran que están unidas en torno a la nueva cúpula chavista",Internacional
Trump: «Ahora soy el mayor fan de Venezuela»,El presidente estadounidense afirma estar trabajando con el país caribeño y presume de la cantidad de petróleo que va a llegar,Internacional
Una petrolera rusa anuncia que no cederá a EE.UU. sus activos producidos en Venezuela,La compañía Roszarubezhneft ha asegurado que mantendrá sus compromisos con sus socios internacionales allí,Internacional
La coalición Alianza de Izquierda Europea pide la CE una propuesta para la suspensión del acuerdo comercial con Israel,"Bruselas, 13 ene (EFE).- La coalición Alianza de Izquierda Europea por los Pueblos y el Planeta (ELA...",Internacional
Presidente del Parlamento cifra en 400 las excarcelaciones desde diciembre pasado en Venezuela,"Caracas, 13 ene (EFE).- El presidente de la Asamblea Nacional (AN, Parlamento) de Venezuela, el chav...",Internacional
Delcy Rodríguez dice que renta petrolera será destinada al sistema de salud de Venezuela,"Caracas, 13 ene (EFE).- La presidenta encargada de Venezuela, Delcy Rodríguez, aseguró este martes q...",Internacional
El número de muertos en Irán se eleva a casi 2.000 mientras Trump recrudece sus amenazas,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Madres de presos políticos en Venezuela exigen prueba de vida de sus hijos,"Caracas, 13 ene (EFE).- Madres de presos políticos en Venezuela exigieron este martes una prueba de ...",Internacional
"La OTAN vigila ""día a día"" la crisis en Irán mientras Trump anima a ""tomar las instituciones""","El presidente de Estados Unidos, Donald Trump, ha expresado este martes su apoyo a los...",Internacional
Titular de Parlamento cifra en 400 las excarcelaciones desde diciembre pasado en Venezuela,"Caracas, 13 ene (EFE).- El presidente de la Asamblea Nacional (AN, Parlamento) de Venezuela, el chav...",Internacional
Diputado opositor venezolano pide honrar palabra sobre excarcelaciones de presos políticos,"Caracas, 13 ene (EFE).- El diputado opositor venezolano Luis Florido pidió este martes que se honre ...",Internacional
"ONG venezolana denuncia que ""no se ha efectuado"" la liberación importante de detenidos","Caracas, 13 ene (EFE).- Activistas venezolanos, varios de la ONG Comité por la Libertad de los Preso...",Internacional
"Rutte asegura que la OTAN está pendiente ""día a día"" de la crisis en Irán","El secretario general de la OTAN, Mark Rutte, ha asegurado este martes que los miembros de la...",Internacional
Los otros costos que enfrentan las familias por esperar las excarcelaciones en Venezuela,"El Rodeo (Venezuela), 13 ene (EFE).- Cinco dólares por un colchón para pasar la noche a la intemperi...",Internacional
Trump publica una foto en la que contempla Groenlandia desde el Despacho Oval,"«Monitorizando la situación», reza el texto junto a la imagen",Internacional
Caravana de transportistas chavistas pide en Caracas la libertad de Maduro,"Caracas, 13 ene (EFE).- Miles de transportistas chavistas recorren este martes en caravana varias ca...",Internacional
Familias de presos políticos en Venezuela se enfrentan a gastos extra mientras esperan liberaciones,"El Rodeo (Venezuela), 13 ene (EFE).- Cinco dólares por un colchón para pasar la noche a la intemperi...",Internacional
"Comida, baños, traslados, los otros costos de esperar las excarcelaciones en Venezuela","El Rodeo (Venezuela), 13 ene (EFE).- Cinco dólares por un colchón para pasar la noche a la intemperi...",Internacional
Jorge Rodríguez afirma que Venezuela ha liberado a 400 presos,"Sigue en directo la última hora de la situación en Venezuela tras la captura de Maduro por parte de los Estados Unidos, con todas las noticias sobre lo que hará Trump con el país con Delcy Rodríguez como nueva presidente y las posibles amenazas a otros países como Groenlandia o México",Internacional
Los Clinton rechazan declarar en el caso Epstein y se abre un nuevo frente legal,"El Comité de Supervisión, encabezado por James Comer, presiona para que comparezcan, mientras la pareja cuestiona la legalidad de la citación y anticipa una disputa judicial",Internacional
Comienza la apelación de Le Pen contra su condena inhabilitatoria,La líder de derecha radical espera salvar su candidatura a las presidenciales de 2027,Internacional
Cabello reporta incautación de 7.148 kilos de droga en Venezuela en primeros días del año,"Caracas, 13 ene (EFE).- El ministro de Interior y Justicia venezolano, Diosdado Cabello, reportó est...",Internacional
Caravana de motoristas chavistas pide en Caracas la liberación de Maduro,"Caracas, 13 ene (EFE).- Miles de transportistas chavistas recorren este martes en caravana varias ca...",Internacional
Transportistas chavistas salen en caravana por Caracas para pedir la libertad de Maduro,"Caracas, 13 ene (EFE).- Miles de transportistas chavistas recorren este martes en caravana varias ca...",Internacional
La Fiscalía de Corea del Sur pide pena de muerte para el expresidente Yoon por declarar la ley marcial,Le considera «el líder de una insurrección que intentó socavar el orden constitucional al movilizar a las Fuerzas Armadas y la Policía para reprimir a la Asamblea Nacional»,Internacional
"ONG eleva a 734 los manifestantes muertos en Irán, aunque recibe informes de ""miles""",**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
"Cabello afirma que Petro declaró ""barbaridades"" sobre fábrica incendiada en Venezuela","Caracas, 13 ene (EFE).- El ministro de Interior y Justicia de Venezuela, Diosdado Cabello, afirmó es...",Internacional
Cuba atraviesa su mayor crisis desde 1959 en un contexto de crecientes tensiones con EE. UU.,"La Habana, 13 ene (EFE).- Cuba llega a su momento de mayor tensión con EE.UU. en décadas en la peor ...",Internacional
Miles de portugueses protestan contra la reforma laboral del Gobierno,"Lisboa, 13 ene (EFE).- Miles de personas volvieron a protestar en Lisboa este martes contra el proye...",Internacional
Miles de personas protestan en Lisboa contra la reforma laboral del Gobierno,"Lisboa, 13 ene (EFE).- Miles de personas volvieron a protestar en Lisboa este martes contra el proye...",Internacional
Entrevista al delegado de EFE en Teherán tras 5 días de bloqueo de las comunicaciones,"Teherán, 13 (EFE) .- Frustración, confusión, incomunicación y la noticia que nunca puedes acabar: as...",Internacional
Cuba afronta su máxima tensión con EE.UU. en décadas sumida en su peor crisis,"La Habana, 13 ene (EFE).- Cuba llega a su momento de mayor tensión con EE.UU. en décadas en la peor ...",Internacional
Un fiscal dispara a una jueza en un tribunal de Estambul,"El autor de los hechos era el exmarido de la magistrada, que resultó herida en la ingle",Internacional
Alianza de Izquierda Europea exige poner fin al acuerdo comercial de la UE con Israel,"Bruselas, 13 ene (EFE).- La coalición Alianza de Izquierda Europea por los Pueblos y el Planeta (ELA...",Internacional
